# window(ps)  GPU(s)   Include_Reading_file(s)
 10000   236   243
 20000   428   446
 30000   628   657
 40000   851   896
 50000  1012  1083
 60000  1170  1324
 70000  1350  1492
 80000  1563  1724
 90000  1751  1963
100000  1825  2207
