# window(ps)  running_time(s) 
 10000   141.8436810970
 20000   283.9757640362
 30000   425.3805429935 
 40000   565.8207449913
 50000   706.8501980305 
 60000   845.9295830727  
 70000   984.9632120132 
 80000  1123.8264670372
 90000  1261.5301489830 
100000  1398.6782479286  
